Designator,Mid X,Mid Y,Rotation,Layer
C1,85.48,-122.174,0.0,bottom
C2,80.908,-122.174,0.0,bottom
C3,84.93,-108.966,180.0,bottom
C4,81.261,-101.346,180.0,bottom
FB1,85.471,-119.634,0.0,bottom
FB2,80.899,-119.761,180.0,bottom
J1,82.931,-114.173,0.0,bottom
N1,83.185,-103.033,0.0,top
R1,81.407,-96.774,0.0,bottom
R2,81.407,-92.456,0.0,bottom
R3,85.462,-96.774,180.0,bottom
R4,81.374,-98.933,0.0,bottom
R5,85.471,-92.456,0.0,bottom
R6,85.471,-98.933,180.0,bottom
R7,81.407,-94.615,180.0,bottom
R8,85.471,-94.615,0.0,bottom
U1,83.152,-105.156,90.0,bottom
